Section,Basin,Age,lithology,d4440Ca,Height (m),d13C (VPDB),d18O (VPDB),Mg/Ca (mmol/mol),Sr/Ca (mmol/mol)
Barn Hills,GreatBasin,Ordovician,dl,-0.67,132.5,0.19,-5.05,930.97,0.15
Barn Hills,GreatBasin,Ordovician,dl,-0.77,124,1.85,-4.72,931.68,0.11
Barn Hills,GreatBasin,Ordovician,dl,-0.94,149,-0.21,-4.23,932.83,0.12
Barn Hills,GreatBasin,Ordovician,dl,-0.99,138,0.32,-4.77,937.77,0.08
Barn Hills,GreatBasin,Ordovician,dl,-0.78,104,-1.28,-3.37,938.07,0.16
Barn Hills,GreatBasin,Ordovician,dl,-0.82,108,0.69,-2.59,938.17,0.16
Barn Hills,GreatBasin,Ordovician,dl,-0.95,118,1.31,-5.11,939.45,0.12
Barn Hills,GreatBasin,Ordovician,dl,-1,92.1,-0.58,-2.38,939.51,0.12
Barn Hills,GreatBasin,Ordovician,dl,-0.98,140,0.07,-5.48,939.55,0.06
Barn Hills,GreatBasin,Ordovician,dl,-1.05,153,0.05,-4.65,939.72,0.07
Barn Hills,GreatBasin,Ordovician,dl,-0.98,142,0.21,-5.09,945.5,0.06
Barn Hills,GreatBasin,Ordovician,dl,-1.06,134.4,0.41,-4.97,945.54,0.07
Barn Hills,GreatBasin,Ordovician,dl,-1.05,151,-0.15,-5.08,946.18,0.07
Barn Hills,GreatBasin,Ordovician,dl,-0.63,127,0.52,-4.74,950.17,0.12
Barn Hills,GreatBasin,Ordovician,dl,-0.88,119.9,1.28,-4.87,951.22,0.13
Barn Hills,GreatBasin,Ordovician,dl,-0.7,96.8,-0.48,-2.28,955.51,0.17
Barn Hills,GreatBasin,Ordovician,dl,-0.94,122,0.8,-4.86,960.01,0.1
Barn Hills,GreatBasin,Ordovician,dl,-0.95,144,0.29,-5.14,964.02,0.07
Barn Hills,GreatBasin,Ordovician,dl,-0.87,130.6,0.42,-4.49,967.11,0.1
Barn Hills,GreatBasin,Ordovician,dl,-0.94,63,-1.91,-3.09,977,0.14
Barn Hills,GreatBasin,Ordovician,dl,-1.05,66,-1.06,-2.56,988.16,0.07
Barn Hills,GreatBasin,Ordovician,dl,-1.02,82,-0.92,-2.85,992.56,0.05
Barn Hills,GreatBasin,Ordovician,dl,-1.06,77.9,-1.16,-2.83,1003.12,0.04
Barn Hills,GreatBasin,Ordovician,dl,-1.11,84,-0.64,-2.61,1005.69,0.06
Barn Hills,GreatBasin,Ordovician,dl,-0.94,54,0.09,-2.02,1006.89,0.03
Barn Hills,GreatBasin,Ordovician,dl,-0.84,128,0.77,-3.64,1014.29,0.07
Barn Hills,GreatBasin,Ordovician,dl,-1.21,86,-0.58,-2.77,1030.8,0.04
Site1131,Australia,Neogene,ls,-1.15,531.5,1.16,2.02,29.05,8.81
Site1131,Australia,Neogene,ls,-1.12,378.3,1.42,1.36,37.5,3.24
Site1131,Australia,Neogene,ls,-1.11,521.5,1.7,1.72,38.5,1.96
Site1131,Australia,Neogene,ls,-1.03,141.85,0.8,1.73,40.55,3.55
Site1131,Australia,Neogene,ls,-1.08,511.3,1,1.81,42.7,1.93
Site1131,Australia,Neogene,ls,-1.05,505.25,0.98,1.89,43.9,1.94
Site1131,Australia,Neogene,ls,-1.03,80.25,0.88,1.94,46.1,3.7
Site1131,Australia,Neogene,ls,-1.14,86,0.79,1.95,46.9,3.3
Site1131,Australia,Neogene,ls,-1.23,329.35,0.82,1.48,48.09,4
Site1131,Australia,Neogene,ls,-1.18,111.9,1.33,2.42,50.3,3.98
Site1131,Australia,Neogene,ls,-1.05,107,0.76,1.92,54.4,4.22
Site1131,Australia,Neogene,ls,-1.07,32.1,0.96,1.49,56.1,3.35
Site1131,Australia,Neogene,ls,-1.07,40,1.32,1.58,56.1,3.6
Site1131,Australia,Neogene,ls,-1.14,444,0.75,1.12,56.8,2
Site1131,Australia,Neogene,ls,-1.17,66.1,0.47,1.3,59.7,4.19
Site1131,Australia,Neogene,ls,-1.21,245.2,0.71,1.54,59.7,4.2
Site1131,Australia,Neogene,ls,-1.14,43.3,1.06,1.43,59.8,3.42
Site1131,Australia,Neogene,ls,-1.18,149.05,0.87,1.83,60,4.3
Site1131,Australia,Neogene,ls,-1.12,70,0.76,2.1,60.7,3.75
Site1131,Australia,Neogene,ls,-1.07,406.2,1.7,1.98,61.4,4.36
Site1131,Australia,Neogene,ls,-1.07,167.5,1.39,1.69,61.5,4.04
Site1131,Australia,Neogene,ls,-1.09,179.25,1.3,1.67,61.9,4.43
Site1131,Australia,Neogene,ls,-1.24,191.7,0.86,2.08,64.2,4.45
Site1131,Australia,Neogene,ls,-1.05,488.9,0.95,2.17,64.5,1.78
Site1131,Australia,Neogene,ls,-1.1,122.6,0.85,1.72,64.6,3.1
Site1131,Australia,Neogene,ls,-1,62.2,1.11,1.83,65.1,4.3
Site1131,Australia,Neogene,ls,-1.18,309.05,0.55,1.99,67.1,3.33
Site1131,Australia,Neogene,ls,-0.88,160.9,1.26,2.28,68.5,3.48
Site1131,Australia,Neogene,ls,-0.99,130.3,1.03,1.93,71.3,3.82
Site1131,Australia,Neogene,ls,-1.18,220.3,0.67,1.64,72.9,4.17
Site1131,Australia,Neogene,ls,-1.12,272.15,0.62,2.05,73.2,3.97
Site1131,Australia,Neogene,ls,-1.12,95.65,1.04,2.51,74.1,4.18
Site1131,Australia,Neogene,ls,-1.11,134.9,1.3,1.69,74.3,3.76
Site1131,Australia,Neogene,ls,-0.93,21.1,1.82,2.63,75.04,3.57
Site1131,Australia,Neogene,ls,-1.14,58.9,0.88,1.77,76.5,4.27
Site1131,Australia,Neogene,ls,-1.02,26.2,1.22,1.48,78.38,4.08
Site1131,Australia,Neogene,ls,-1.06,298.15,0.81,2.06,82.6,3.95
Site1131,Australia,Neogene,ls,-0.95,8.5,2.04,2.37,85.2,4.13
Site1131,Australia,Neogene,ls,-1.22,414.35,0.92,1.8,86.5,4.43
Site1131,Australia,Neogene,ls,-1.02,52.9,1.08,1.73,86.6,4.24
Site1131,Australia,Neogene,ls,-0.95,13.5,1.99,1.99,87.5,3.7
Site1131,Australia,Neogene,ls,-1.14,227.2,0.67,1.7,90,4
Site1131,Australia,Neogene,ls,-1.17,154.2,0.83,1.9,94,4.39
Site1131,Australia,Neogene,ls,-1.22,346.8,0.44,1.86,133.9,2.72
Andros,Bahamas,Neogene,ls,-1.47,ooids (Joulter Cay),5.03,,5.05,9.95
Andros,Bahamas,Neogene,ls,-1.4,ooids (Joulter Cay),4.85,,5.28,10.47
Andros,Bahamas,Neogene,ls,-1.49,ooids (Joulter Cay),4.84,,5.42,10.1
Andros,Bahamas,Neogene,ls,-1.41,ooids (Joulter Cay),3.16,,6.62,10.19
Andros,Bahamas,Neogene,ls,-1.44,ooids (Joulter Cay),4.42,,7.2,8.98
Andros,Bahamas,Neogene,ls,-1.35,ooids (Joulter Cay),4.06,,7.36,10.72
Andros,Bahamas,Neogene,ls,-1.39,bulk sediment (Triple Goose Creek),3.53,,35.73,8.66
Andros,Bahamas,Neogene,ls,-1.38,bulk sediment (Triple Goose Creek),3,,39.64,8.94
Andros,Bahamas,Neogene,ls,-1.2,bulk sediment (Triple Goose Creek),3.47,,39.97,8.89
Andros,Bahamas,Neogene,ls,-1.34,bulk sediment (Triple Goose Creek),4.11,,40.26,8.08
Andros,Bahamas,Neogene,ls,-1.32,bulk sediment (Triple Goose Creek),3.36,,43.5,9.34
Andros,Bahamas,Neogene,ls,-1.42,bulk sediment (Triple Goose Creek),3.72,,43.97,9.1
Andros,Bahamas,Neogene,ls,-1.34,bulk sediment (Triple Goose Creek),4.03,,45.49,8.53
Andros,Bahamas,Neogene,ls,-1.26,bulk sediment (Triple Goose Creek),3.19,,46.13,8.15
Andros,Bahamas,Neogene,ls,-1.34,bulk sediment (Triple Goose Creek),3.78,,48.9,8.95
Andros,Bahamas,Neogene,ls,-1.29,bulk sediment (Triple Goose Creek),2.54,,51.27,8.36
Andros,Bahamas,Neogene,ls,-1.25,bulk sediment (Triple Goose Creek),3.47,,77.84,6.53
Cilno,Bahamas,Neogene,ls,-1.41,305.305,5.1,0.26,19.08,8.15
Cilno,Bahamas,Neogene,ls,-1.39,213.805,4.33,0.22,21.7,4.58
Cilno,Bahamas,Neogene,ls,-1.36,319.945,5.45,0.12,21.82,8.93
Cilno,Bahamas,Neogene,ls,-1.33,335.805,4.95,-0.12,24.2,8.4
Cilno,Bahamas,Neogene,ls,-1.43,295.24,5.32,0.61,24.24,7.3
Cilno,Bahamas,Neogene,ls,-1.39,288.53,4.53,0.48,24.65,6.67
Cilno,Bahamas,Neogene,ls,-1.43,230.275,4.45,1.15,24.8,5.44
Cilno,Bahamas,Neogene,ls,-1.27,276.025,4.22,0.6,30.16,4.75
Cilno,Bahamas,Neogene,ls,-1.38,228.75,4.38,0.78,30.3,2.96
Cilno,Bahamas,Neogene,ls,-1.3,287.005,4.16,0.63,32.1,5.65
Cilno,Bahamas,Neogene,ls,-1.09,261.385,3.25,0.2,32.4,3.93
Cilno,Bahamas,Neogene,ls,-1.35,244,4.83,0.44,33.17,5.86
Cilno,Bahamas,Neogene,ls,-1.24,351.36,3.98,-0.31,38.9,34.4
Cilno,Bahamas,Neogene,ls,-0.95,668.865,3.08,1.32,50.2,1.57
Cilno,Bahamas,Neogene,ls,-1.19,184.525,2.67,1.26,63.4,2.18
Cilno,Bahamas,Neogene,ls,-0.9,428.525,3.8,1.02,63.7,2.3
Cilno,Bahamas,Neogene,ls,-1.08,435.54,3.77,0.75,64.3,2.24
Cilno,Bahamas,Neogene,ls,-0.96,425.78,3.52,0.58,71.9,2.62
Cilno,Bahamas,Neogene,ls,-1.01,456.585,3.25,0.69,76.1,3.04
Cilno,Bahamas,Neogene,ls,-0.89,650.87,2.51,0.54,77.9,1.22
Cilno,Bahamas,Neogene,ls,-0.63,542.108,2.8,1.4,79.47,0.67
Cilno,Bahamas,Neogene,ls,-1,487.39,3.04,1.02,80.7,2.35
Cilno,Bahamas,Neogene,ls,-0.95,585.9296,2.7,1.1,81.1,1.7
Cilno,Bahamas,Neogene,ls,-1.11,473.97,3.69,1.38,81.67,3.05
Cilno,Bahamas,Neogene,ls,-1.03,443.775,2.97,0.55,81.8,4.79
Cilno,Bahamas,Neogene,ls,-1.21,411.75,4.11,1.02,83.72,2.86
Cilno,Bahamas,Neogene,ls,-1.04,676.795,2.5,1.4,84.2,1.12
Cilno,Bahamas,Neogene,ls,-1.11,464.82,3.62,1.2,87.1,1.44
Cilno,Bahamas,Neogene,ls,-0.94,656.97,2.98,1.65,87.9,1.71
Cilno,Bahamas,Neogene,ls,-1.14,197.64,3.71,1.05,89.5,3.53
Cilno,Bahamas,Neogene,ls,-0.95,491.355,3.04,0.27,91.3,2.52
Cilno,Bahamas,Neogene,ls,-1.21,418.155,4.03,0.92,96.2,3.01
Cilno,Bahamas,Neogene,ls,-1.18,482.205,3.33,1.16,96.8,9.05
Cilno,Bahamas,Neogene,ls,-1,438.285,3.39,0.65,99.5,2.79
Cilno,Bahamas,Neogene,ls,-1.07,646.9576,2.8,1,110.7,4.71
Cilno,Bahamas,Neogene,ls,-0.97,494.304,3,0.8,115.24,2.56
Cilno,Bahamas,Neogene,ls,-0.96,663.68,2.57,1.21,120.94,1.58
Cilno,Bahamas,Neogene,ls,-0.92,374.4824,3.1,0.9,138.1,3.76
Cilno,Bahamas,Neogene,ls,-1,366.016,2.1,1.1,141.79,2.33
Cilno,Bahamas,Neogene,ls,-1.2,401.685,4.05,1.6,158.8,2.65
Cilno,Bahamas,Neogene,ls,-0.9,378.06048,,,167.9,3.49
Cilno,Bahamas,Neogene,ls,-0.96,377.89632,3.8,2.1,171.5,3.04
Cilno,Bahamas,Neogene,ls,-0.89,573.1616,2.5,1.8,171.5,1
Cilno,Bahamas,Neogene,ls,-0.67,546.2272,2.9,1.5,174.44,0.73
Cilno,Bahamas,Neogene,ls,-0.96,569.088,2.8,1.4,192.1,1.38
Cilno,Bahamas,Neogene,ls,-0.64,538.8704,2.8,3.2,212.74,1.51
Cilno,Bahamas,Neogene,ls,-0.91,646.9576,3.5,2.3,214.6,3.72
Cilno,Bahamas,Neogene,ls,-0.91,585.9296,3.3,2.4,217.34,1.64
Cilno,Bahamas,Neogene,ls,-0.42,542.108,3.1,2.6,217.91,0.47
Cilno,Bahamas,Neogene,ls,-0.97,374.4824,3.6,1.7,220.4,3.48
Cilno,Bahamas,Neogene,ls,-1.25,366.016,2.3,1.6,234.7,2.64
Cilno,Bahamas,Neogene,ls,-0.95,566.96,3,1.8,240.23,1.26
Cilno,Bahamas,Neogene,ls,-1.01,494.304,3.7,1.7,247.9,2.78
Cilno,Bahamas,Neogene,ls,-0.97,563.008,2.8,2.3,252.68,1.13
Cilno,Bahamas,Neogene,ls,-0.92,573.1616,2.9,2.8,292.83,0.78
Cilno,Bahamas,Neogene,ls,-1.1,368.144,3.5,2.6,341.89,2.87
Cilno,Bahamas,Neogene,ls,-0.87,563.008,3.1,3,342.82,1.05
Cilno,Bahamas,Neogene,ls,-0.99,378.06048,,,361.28,3.5
Cilno,Bahamas,Neogene,ls,-0.93,569.088,3.2,2.8,400.94,1.02
Cilno,Bahamas,Neogene,ls,-0.68,546.2272,3.1,3,430.71,0.51
Cilno,Bahamas,Neogene,ls,-1.02,377.89632,4.3,3.1,433.38,3.97
Cilno,Bahamas,Neogene,ls,-0.53,542.108,3.2,3.9,444.4,0.47
Cilno,Bahamas,Neogene,ls,-1.13,368.144,3.8,3.1,495.7,2.6
Cilno,Bahamas,Neogene,ls,-1.04,374.4824,4.2,3,502.3,4.31
Cilno,Bahamas,Neogene,ls,-0.52,538.8704,3.1,4.2,511.16,0.68
Cilno,Bahamas,Neogene,ls,-0.9,566.96,3.3,3,534.72,1.11
Cilno,Bahamas,Neogene,ls,-1.05,585.9296,3.6,3.6,566.34,1.77
Cilno,Bahamas,Neogene,ls,-1.17,646.9576,4,3.6,606,6.77
Cilno,Bahamas,Neogene,ls,-1.13,366.016,2.9,3.5,659.76,3.22
Cilno,Bahamas,Neogene,ls,-0.81,546.2272,3.2,4.1,684.13,0.5
Cilno,Bahamas,Neogene,ls,-0.99,573.1616,3.3,4.4,697.5,0.88
Cilno,Bahamas,Neogene,dl,-0.48,538.8704,3.1,4.3,703.43,0.58
Cilno,Bahamas,Neogene,dl,-0.88,569.088,3.4,3.9,703.99,0.94
Cilno,Bahamas,Neogene,dl,-1.03,377.89632,4.5,3.4,713,5.44
Cilno,Bahamas,Neogene,dl,-1.09,378.06048,,,713.8,5.42
Cilno,Bahamas,Neogene,dl,-1.29,494.304,4.5,3.5,717.53,3.94
Cilno,Bahamas,Neogene,dl,-1.3,368.144,4.1,3.8,749.73,2.45
Cilno,Bahamas,Neogene,dl,-0.96,566.96,3.5,4,756.6,1.02
LBB,Bahamas,Neogene,ls,-0.57,76,2.4,3.94,640.92,0.23
LBB,Bahamas,Neogene,ls,-0.54,75.696,2,3.34,697.05,0.27
LBB,Bahamas,Neogene,dl,-0.65,54.112,1.97,3.34,714.52,0.5
LBB,Bahamas,Neogene,dl,-0.46,57.0912,1.82,2.38,747.49,0.3
LBB,Bahamas,Neogene,dl,-0.67,57.152,1.78,3.42,749.48,0.46
LBB,Bahamas,Neogene,dl,-0.35,58.064,1.52,2.46,769.36,0.34
LBB,Bahamas,Neogene,dl,-0.6,65.664,2.71,3.12,770.36,0.31
LBB,Bahamas,Neogene,dl,-0.55,67.4272,2.09,3.31,774.99,0.37
LBB,Bahamas,Neogene,dl,-0.56,43.168,1.06,3.37,778.38,0.41
LBB,Bahamas,Neogene,dl,-0.56,59.28,1.55,3.25,783.41,0.32
LBB,Bahamas,Neogene,dl,-0.41,85.424,2.24,2.87,790.09,0.31
LBB,Bahamas,Neogene,dl,-0.61,74.176,1.67,3.21,791.88,0.28
LBB,Bahamas,Neogene,dl,-0.51,85.12,1.99,3.41,803.52,0.29
LBB,Bahamas,Neogene,dl,-0.65,32.6496,-1.17,-2.45,807.77,0.28
LBB,Bahamas,Neogene,dl,-0.68,69.9504,2.02,3.63,820.64,0.34
LBB,Bahamas,Neogene,dl,-0.42,74.9664,1.68,3.29,826.81,0.29
LBB,Bahamas,Neogene,dl,-0.43,73.76,1.94,3.18,831.68,0.26
LBB,Bahamas,Neogene,dl,-0.49,78.2192,2.86,3.22,857.99,0.25
LBB,Bahamas,Neogene,dl,-0.6,86.8224,2.57,3.89,907,0.24
LBB,Bahamas,Neogene,dl,-0.65,87.9776,2.23,2.34,937,0.21
LBB,Bahamas,Neogene,dl,-0.51,86.64,2.43,3.17,944,0.17
LBB,Bahamas,Neogene,dl,-0.57,79.648,2.45,3.43,945.32,0.16
LBB,Bahamas,Neogene,dl,-0.52,61.5296,3.1,3.08,946.41,0.17
San Salvador,Bahamas,Neogene,dl,-0.42,38.25,2.2,2.5,700,0.5
San Salvador,Bahamas,Neogene,dl,-0.41,132.71,2.8,3.2,711,0.37
San Salvador,Bahamas,Neogene,dl,-0.4,40.54,2.7,2.5,719,0.44
San Salvador,Bahamas,Neogene,dl,-0.43,37.8,1.67,2.73,729,0.45
San Salvador,Bahamas,Neogene,dl,-0.57,41.61,2.5,2.7,732,0.5
San Salvador,Bahamas,Neogene,dl,-0.46,54.35,2.7,2.85,782,0.4
San Salvador,Bahamas,Neogene,dl,-0.49,110.15,2.4,3.55,787,0.35
San Salvador,Bahamas,Neogene,dl,-0.59,54.47,,,791,0.43
San Salvador,Bahamas,Neogene,dl,-0.54,67.15,,,793,0.68
San Salvador,Bahamas,Neogene,dl,-0.32,134.2,2.8,3.2,794,0.39
San Salvador,Bahamas,Neogene,dl,-0.55,75.59,2.05,3,806,0.43
San Salvador,Bahamas,Neogene,dl,-0.62,55.11,,,807,0.42
San Salvador,Bahamas,Neogene,dl,-0.66,55.32,,,812,0.42
San Salvador,Bahamas,Neogene,dl,-0.44,112.17,2.45,3.05,812,0.37
San Salvador,Bahamas,Neogene,dl,-0.51,71.78,1.75,3,819,0.42
San Salvador,Bahamas,Neogene,dl,-0.64,58.8,,,860,0.26
San Salvador,Bahamas,Neogene,dl,-0.39,44.53,1.65,3,861,0.24
San Salvador,Bahamas,Neogene,dl,-0.68,59.47,,,866,0.27
San Salvador,Bahamas,Neogene,dl,,61.08,,,876,0.25
San Salvador,Bahamas,Neogene,dl,-0.78,61.02,,,884,0.25
San Salvador,Bahamas,Neogene,dl,-0.53,59.86,,,890,0.25
San Salvador,Bahamas,Neogene,dl,-0.58,66.2,,,891,0.25
San Salvador,Bahamas,Neogene,dl,-0.75,59.04,,,897,0.3
San Salvador,Bahamas,Neogene,dl,-0.57,60.5,1.9,3.7,906,0.23
San Salvador,Bahamas,Neogene,dl,-0.63,57.21,2.2,3.4,908,0.26
San Salvador,Bahamas,Neogene,dl,-0.73,64.77,,,908,0.24
San Salvador,Bahamas,Neogene,dl,-0.52,57.94,,,912,0.21
San Salvador,Bahamas,Neogene,dl,-0.87,57.67,,,913,0.22
San Salvador,Bahamas,Neogene,dl,-0.45,58.83,,,914,0.22
San Salvador,Bahamas,Neogene,dl,-0.49,65.78,,,915,0.24
San Salvador,Bahamas,Neogene,dl,-0.57,79.31,2.75,3.7,916,0.27
San Salvador,Bahamas,Neogene,dl,-0.54,61.48,,,917,0.22
San Salvador,Bahamas,Neogene,dl,-0.51,62.06,,,918,0.2
San Salvador,Bahamas,Neogene,dl,-0.53,64.98,,,919,0.21
San Salvador,Bahamas,Neogene,dl,-0.67,57.27,2.2,3.45,929,0.23
San Salvador,Bahamas,Neogene,dl,-0.61,57.52,2.2,3.55,932,0.21
San Salvador,Bahamas,Neogene,dl,-0.55,64.68,2.3,3.7,939,0.21
San Salvador,Bahamas,Neogene,dl,-0.61,97.38,2.5,3.9,940,0.3
San Salvador,Bahamas,Neogene,dl,-0.52,61.78,2.4,3.75,946,0.21
San Salvador,Bahamas,Neogene,dl,-0.58,54.22,1.9,3.4,947,0.23
San Salvador,Bahamas,Neogene,dl,-0.62,66.14,2.4,3.75,950,0.38
San Salvador,Bahamas,Neogene,dl,-0.57,58.98,2.3,3.6,953,0.28
San Salvador,Bahamas,Neogene,dl,-0.61,67.33,2.3,3.5,953,0.21
San Salvador,Bahamas,Neogene,dl,-0.53,67.36,,,954,0.38
San Salvador,Bahamas,Neogene,dl,-0.56,66.9,2.3,3.5,964,0.19
San Salvador,Bahamas,Neogene,dl,-0.49,91.29,2.6,4.07,968,0.24
San Salvador,Bahamas,Neogene,dl,-0.65,62.48,2.2,3.85,972,0.21
San Salvador,Bahamas,Neogene,dl,-0.59,62.67,2.18,3.9,980,0.17
Site1003,Bahamas,Neogene,ls,-1.31,1100.8,1.79,0.25,10.61,4.01
Site1003,Bahamas,Neogene,ls,-1.27,1273,,,13.29,3.39
Site1003,Bahamas,Neogene,ls,-1.27,1265.9,2.12,-0.69,16.44,2.96
Site1003,Bahamas,Neogene,ls,-1.51,44.5,4.2,0.12,16.55,10.37
Site1003,Bahamas,Neogene,ls,-1.36,1140.4,1.45,0.31,16.73,3.55
Site1003,Bahamas,Neogene,ls,-1.37,1032.2,2.87,-0.38,17.09,3.52
Site1003,Bahamas,Neogene,ls,-1.37,1050,2.2,-0.78,18.46,4.3
Site1003,Bahamas,Neogene,ls,-1.4,974.5,2.81,-0.8,18.66,5.85
Site1003,Bahamas,Neogene,ls,-1.45,6,4.59,-0.07,23.5,10.22
Site1003,Bahamas,Neogene,ls,-1.29,1003.3,2.58,-0.51,23.84,5.6
Site1003,Bahamas,Neogene,ls,-1.2,1118,1.44,0.44,24.16,3.28
Site1003,Bahamas,Neogene,ls,-1.06,1227.3,2.19,0.91,24.82,3.71
Site1003,Bahamas,Neogene,ls,-1.29,839.5,3.21,0.73,25.01,4.64
Site1003,Bahamas,Neogene,ls,-1.34,1181.3,2.02,0.53,25.05,3.56
Site1003,Bahamas,Neogene,ls,-1.09,549.7,2.7,2.57,25.71,1.24
Site1003,Bahamas,Neogene,ls,-1.23,1284.9,1.36,-0.69,26.49,4.17
Site1003,Bahamas,Neogene,ls,-1.39,1012.7,3.25,0.48,27.01,5.69
Site1003,Bahamas,Neogene,ls,-1.05,123.7,2.61,1.62,27.38,9.86
Site1003,Bahamas,Neogene,ls,-1.09,754,1.65,1.04,27.44,3.2
Site1003,Bahamas,Neogene,ls,-1,513,2.91,2.69,27.63,1.21
Site1003,Bahamas,Neogene,ls,-0.98,130.3,2.92,1.71,28.58,4.07
Site1003,Bahamas,Neogene,ls,-1.23,792.9,3.33,0.42,28.62,3.74
Site1003,Bahamas,Neogene,ls,-1.38,1293.4,2,-0.63,28.85,3.32
Site1003,Bahamas,Neogene,ls,-1.03,724.2,1.65,1.04,28.88,1.85
Site1003,Bahamas,Neogene,ls,-1.1,339.4,2.94,2.02,28.91,3.99
Site1003,Bahamas,Neogene,ls,-1.34,1084.4,2.24,-0.63,29.47,3.32
Site1003,Bahamas,Neogene,ls,-0.9,140,2.1,1.57,29.74,2.83
Site1003,Bahamas,Neogene,ls,-0.96,283,2.88,1.49,29.83,1.44
Site1003,Bahamas,Neogene,ls,-1.31,1209.1,1.55,-0.47,30.27,3.53
Site1003,Bahamas,Neogene,ls,-1.03,103,2.69,1.21,30.28,7.08
Site1003,Bahamas,Neogene,ls,-1.29,93,5.05,1.43,31.03,10.87
Site1003,Bahamas,Neogene,ls,-0.99,292.9,2.63,2.07,31.82,1.66
Site1003,Bahamas,Neogene,ls,-1.03,310.6,2.73,2.22,31.91,2.29
Site1003,Bahamas,Neogene,ls,-1.22,878.1,2.7,-0.04,32.47,2.94
Site1003,Bahamas,Neogene,ls,-1.1,464.6,2.7,2.37,33.9,2.71
Site1003,Bahamas,Neogene,ls,-1.21,114.1,3.96,1.37,33.91,8.13
Site1003,Bahamas,Neogene,ls,-1.08,406.8,2.96,2.94,34.14,2.51
Site1003,Bahamas,Neogene,ls,-1.06,262.5,2.8,2.06,34.28,1.46
Site1003,Bahamas,Neogene,ls,-0.94,145.9,2.12,1.57,34.57,2.71
Site1003,Bahamas,Neogene,ls,-1.32,86.3,3.8,1.25,34.79,8.61
Site1003,Bahamas,Neogene,ls,-1.3,1070.7,1.95,-0.99,35.51,3.47
Site1003,Bahamas,Neogene,ls,-1.39,9,4.78,-0.02,35.62,9
Site1003,Bahamas,Neogene,ls,-1.05,243.3,2.45,1.3,36.18,1.8
Site1003,Bahamas,Neogene,ls,-0.98,118.6,3.16,2,36.84,5.63
Site1003,Bahamas,Neogene,ls,-0.99,456,2.7,2.37,37.47,2.47
Site1003,Bahamas,Neogene,ls,-1.2,1197.2,2.19,0.78,38.2,3.59
Site1003,Bahamas,Neogene,ls,-0.98,151.1,2.48,1.34,38.23,2.72
Site1003,Bahamas,Neogene,ls,-1.15,503.9,2.83,2.46,38.87,2.71
Site1003,Bahamas,Neogene,ls,-1.02,329.9,3.02,2.06,39.29,2.56
Site1003,Bahamas,Neogene,ls,-1.04,252.9,2.45,1.3,39.52,1.99
Site1003,Bahamas,Neogene,ls,-1.07,368.2,3.08,2.06,39.72,2.24
Site1003,Bahamas,Neogene,ls,-1,358.6,3,2.31,40.68,2.22
Site1003,Bahamas,Neogene,ls,-0.85,350.5,3.26,2.63,40.9,1.79
Site1003,Bahamas,Neogene,ls,-1.01,321.5,2.94,1.68,41.82,2.34
Site1003,Bahamas,Neogene,ls,-0.82,207.7,1.63,1.24,42.77,1.57
Site1003,Bahamas,Neogene,ls,-1.1,49.5,3.74,1.41,43.37,5.48
Site1003,Bahamas,Neogene,ls,-0.96,445.3,2.85,2.63,44.49,2.2
Site1003,Bahamas,Neogene,ls,-1.28,857.5,2.97,-0.05,44.56,4.38
Site1003,Bahamas,Neogene,ls,-1.22,655.7,3.2,1.52,45.1,2.18
Site1003,Bahamas,Neogene,ls,-1.14,773.6,3.14,0.76,45.19,3.45
Site1003,Bahamas,Neogene,ls,-1.08,483.9,3.07,2.41,45.31,1.96
Site1003,Bahamas,Neogene,ls,-0.8,194.1,1.45,1.68,46.58,1.43
Site1003,Bahamas,Neogene,ls,-1.1,588.3,2.79,2.08,46.82,2.73
Site1003,Bahamas,Neogene,ls,-1.03,390,3.22,3.18,47.11,2.28
Site1003,Bahamas,Neogene,ls,-1.06,189,1.67,1.83,47.15,1.4
Site1003,Bahamas,Neogene,ls,-0.84,235,2.45,1.3,49.78,1.1
Site1003,Bahamas,Neogene,ls,-0.86,189.8,1.6,1.89,49.96,5.68
Site1003,Bahamas,Neogene,ls,-0.85,160.7,2.41,2.05,50.11,1.51
Site1003,Bahamas,Neogene,ls,-1.35,75,2.88,-0.23,50.42,8.3
Site1003,Bahamas,Neogene,ls,-1.25,24,4.22,1.06,51.2,7.82
Site1003,Bahamas,Neogene,ls,-1.29,907.6,2.73,0.16,51.62,2.87
Site1003,Bahamas,Neogene,ls,-1.01,64,2.82,1.47,52.3,3.74
Site1003,Bahamas,Neogene,ls,-1.02,377.9,3.15,2.83,52.68,2.36
Site1003,Bahamas,Neogene,ls,-1.08,628,2.49,1.53,53.49,1.72
Site1003,Bahamas,Neogene,ls,-1.26,966.3,3.32,1.21,53.97,3.82
Site1003,Bahamas,Neogene,ls,-0.9,238,2.45,1.3,54.38,1.64
Site1003,Bahamas,Neogene,ls,-1.19,68.5,3.02,1.05,55.94,5.47
Site1003,Bahamas,Neogene,ls,-1.44,18,3.84,0.96,56.14,6.72
Site1003,Bahamas,Neogene,ls,-0.83,175.6,1.9,2.01,60.89,1.51
Site1003,Bahamas,Neogene,ls,-1.38,945.6,3.12,-0.59,62.6,4.72
Site1003,Bahamas,Neogene,ls,-0.89,183.1,1.94,2.38,63.41,1.12
Site1003,Bahamas,Neogene,ls,-1.56,12.3,4.64,-0.12,65.99,7.32
